Month,Breakdown,Country,Number of Tourists
Oct-11,Europe,United Kingdom,9537.0
Oct-11,Asia,China,22595.0
Oct-11,Asia,India,3007.0
Oct-11,Europe,France,4355.0
Nov-11,Europe,Germany,10058.0
Nov-11,Europe,Italy,5543.0
Nov-11,Europe,Russia,6008.0
Nov-11,Europe,United Kingdom,8310.0
Nov-11,Asia,China,16897.0
Nov-11,Asia,India,3232.0
Nov-11,Europe,France,5258.0
Dec-11,Europe,Germany,7544.0
Dec-11,Europe,Italy,8929.0
Dec-11,Europe,Russia,7212.0
Dec-11,Europe,United Kingdom,7889.0
Dec-11,Asia,China,12495.0
Dec-11,Asia,India,4122.0
Dec-11,Europe,France,7079.0
Jan-12,Europe,Germany,7532.0
Jan-12,Europe,Italy,10451.0
Jan-12,Europe,Russia,7418.0
Jan-12,Europe,United Kingdom,7001.0
Jan-12,Asia,China,28008.0
Jan-12,Asia,India,2303.0
Jan-12,Europe,France,7578.0
Feb-12,Europe,Germany,8591.0
Feb-12,Europe,Italy,8910.0
Feb-12,Europe,Russia,5370.0
Feb-12,Europe,United Kingdom,9006.0
Feb-12,Asia,China,12237.0
Feb-12,Asia,India,2219.0
Feb-12,Europe,France,9742.0
Mar-12,Europe,Germany,10232.0
Mar-12,Europe,Italy,7578.0
Mar-12,Europe,Russia,7131.0
Mar-12,Europe,United Kingdom,8388.0
Mar-12,Asia,China,6417.0
Mar-12,Asia,India,1657.0
Mar-12,Europe,France,7875.0
Apr-12,Europe,Germany,10145.0
Apr-12,Europe,Italy,6130.0
Apr-12,Europe,Russia,6462.0
Apr-12,Europe,United Kingdom,8934.0
Apr-12,Asia,China,10523.0
Apr-12,Asia,India,1877.0
Apr-12,Europe,France,6587.0
May-12,Europe,Germany,9736.0
May-12,Europe,Italy,1874.0
May-12,Europe,Russia,3960.0
May-12,Europe,United Kingdom,6670.0
May-12,Asia,China,16154.0
May-12,Asia,India,2766.0
May-12,Europe,France,2705.0
Jun-12,Europe,Germany,4782.0
Jun-12,Europe,Italy,1578.0
Jun-12,Europe,Russia,3345.0
Jun-12,Europe,United Kingdom,6146.0
Jun-12,Asia,China,17809.0
Jun-12,Asia,India,2495.0
Jun-12,Europe,France,1251.0
Jul-12,Europe,Germany,6199.0
Jul-12,Europe,Italy,2853.0
Jul-12,Europe,Russia,3918.0
Jul-12,Europe,United Kingdom,7286.0
Jul-12,Asia,China,27653.0
Jul-12,Asia,India,2039.0
Jul-12,Europe,France,1632.0
Aug-12,Europe,Germany,6485.0
Aug-12,Europe,Italy,5225.0
Aug-12,Europe,Russia,4562.0
Aug-12,Europe,United Kingdom,7450.0
Aug-12,Asia,China,25138.0
Aug-12,Asia,India,2264.0
Aug-12,Europe,France,2785.0
Sep-12,Europe,Germany,8248.0
Sep-12,Europe,Italy,2749.0
Sep-12,Europe,Russia,4274.0
Sep-12,Europe,United Kingdom,7106.0
Sep-12,Asia,China,25178.0
Sep-12,Asia,India,2103.0
Sep-12,Europe,France,2042.0
Oct-12,Europe,Germany,10597.0
Oct-12,Europe,Italy,3679.0
Oct-12,Europe,Russia,5622.0
Oct-12,Europe,United Kingdom,8666.0
Oct-12,Asia,China,26301.0
Oct-12,Asia,India,2546.0
Oct-12,Europe,France,3815.0
Nov-12,Europe,Germany,8729.0
Nov-12,Europe,Italy,3551.0
Nov-12,Europe,Russia,6860.0
Nov-12,Europe,United Kingdom,7164.0
Nov-12,Asia,China,18450.0
Nov-12,Asia,India,3930.0
Nov-12,Europe,France,4942.0
Dec-12,Europe,Germany,7075.0
Dec-12,Europe,Italy,8204.0
Dec-12,Europe,Russia,7456.0
Dec-12,Europe,United Kingdom,7959.0
Dec-12,Asia,China,15683.0
Dec-12,Asia,India,5522.0
Dec-12,Europe,France,5821.0
Jan-13,Europe,Germany,6926.0
Jan-13,Europe,Italy,7050.0
Jan-13,Europe,Russia,9061.0
Jan-13,Europe,United Kingdom,6367.0
Jan-13,Asia,China,19208.0
Jan-13,Asia,India,3483.0
Jan-13,Europe,France,6688.0
Feb-13,Europe,Germany,7755.0
Feb-13,Europe,Italy,7832.0
Feb-13,Europe,Russia,6737.0
Feb-13,Europe,United Kingdom,7745.0
Feb-13,Asia,China,33592.0
Feb-13,Asia,India,3493.0
Feb-13,Europe,France,7666.0
Mar-13,Europe,Germany,11001.0
Mar-13,Europe,Italy,8365.0
Mar-13,Europe,Russia,8457.0
Mar-13,Europe,United Kingdom,8438.0
Mar-13,Asia,China,17770.0
Mar-13,Asia,India,2769.0
Mar-13,Europe,France,7990.0
Apr-13,Europe,Germany,8303.0
Apr-13,Europe,Italy,5542.0
Apr-13,Europe,Russia,6241.0
Apr-13,Europe,United Kingdom,8654.0
Apr-13,Asia,China,20329.0
Apr-13,Asia,India,2521.0
Apr-13,Europe,France,6021.0
May-13,Europe,Germany,8812.0
May-13,Europe,Italy,1813.0
May-13,Europe,Russia,5230.0
May-13,Europe,United Kingdom,6886.0
May-13,Asia,China,23613.0
May-13,Asia,India,3951.0
May-13,Europe,France,3540.0
Jun-13,Europe,Germany,4421.0
Jun-13,Europe,Italy,1579.0
Jun-13,Europe,Russia,4063.0
Jun-13,Europe,United Kingdom,5100.0
Jun-13,Asia,China,28007.0
Jun-13,Asia,India,3214.0
Jun-13,Europe,France,1081.0
Jul-13,Europe,Germany,5418.0
Jul-13,Europe,Italy,2683.0
Jul-13,Europe,Russia,4612.0
Jul-13,Europe,United Kingdom,6945.0
Jul-13,Asia,China,36551.0
Jul-13,Asia,India,2335.0
Jul-13,Europe,France,1501.0
Aug-13,Europe,Germany,5930.0
Aug-13,Europe,Italy,5424.0
Aug-13,Europe,Russia,5188.0
Aug-13,Europe,United Kingdom,7409.0
Aug-13,Asia,China,35814.0
Aug-13,Asia,India,2576.0
Aug-13,Europe,France,2692.0
Sep-13,Europe,Germany,8148.0
Sep-13,Europe,Italy,2722.0
Sep-13,Europe,Russia,4833.0
Sep-13,Europe,United Kingdom,6688.0
Sep-13,Asia,China,35026.0
Sep-13,Asia,India,2179.0
Sep-13,Europe,France,2036.0
Oct-13,Europe,Germany,10360.0
Oct-13,Europe,Italy,3128.0
Oct-13,Europe,Russia,6277.0
Oct-13,Europe,United Kingdom,7714.0
Oct-13,Asia,China,35041.0
Oct-13,Asia,India,2703.0
Oct-13,Europe,France,4388.0
Nov-13,Europe,Germany,8869.0
Nov-13,Europe,Italy,3686.0
Nov-13,Europe,Russia,7675.0
Nov-13,Europe,United Kingdom,6694.0
Nov-13,Asia,China,26008.0
Nov-13,Asia,India,3588.0
Nov-13,Europe,France,4632.0
Dec-13,Europe,Germany,7655.0
Dec-13,Europe,Italy,8030.0
Dec-13,Europe,Russia,8105.0
Dec-13,Europe,United Kingdom,7229.0
Dec-13,Asia,China,20760.0
Dec-13,Asia,India,5202.0
Dec-13,Europe,France,6093.0
Jan-14,Europe,Germany,6527.0
Jan-14,Europe,Italy,6879.0
Jan-14,Europe,Russia,9289.0
Jan-14,Europe,United Kingdom,6710.0
Jan-14,Asia,China,30612.0
Jan-14,Asia,India,3426.0
Jan-14,Europe,France,6395.0
Feb-14,Europe,Germany,8050.0
Feb-14,Europe,Italy,7455.0
Feb-14,Europe,Russia,6182.0
Feb-14,Europe,United Kingdom,7913.0
Feb-14,Asia,China,33213.0
Feb-14,Asia,India,3596.0
Feb-14,Europe,France,7943.0
Mar-14,Europe,Germany,9973.0
Mar-14,Europe,Italy,7953.0
Mar-14,Europe,Russia,7121.0
Mar-14,Europe,United Kingdom,8674.0
Mar-14,Asia,China,23705.0
Mar-14,Asia,India,3080.0
Mar-14,Europe,France,7602.0
